date,product_id,price,discount,campaign_active,orders,page_views,add_to_cart,dayofweek,month,is_weekend,is_holiday,orders_lag_1,orders_lag_7,orders_lag_14,rolling_mean_7,rolling_mean_14
2023-02-13,P001,593.9547910480528,15.0,0,17.65518646368874,39.0,20,0,2,0,0,20.308312668508425,13.938831578720656,31.73595119958865,20.78840202999313,21.71646728684333
2023-02-14,P001,541.6304001971198,25.0,0,30.83206176752756,129.0,21,1,2,0,0,17.65518646368874,19.686056625057947,17.27384083000785,21.319309870702853,20.71069837713619
2023-02-17,P001,356.7613045215848,5.0,0,19.39215447236417,54.0,20,4,2,0,0,30.83206176752756,14.528178073219577,21.24977498130569,22.911596319627083,21.679142729816167
2023-02-18,P001,525.6742114859592,15.0,0,16.839909305232943,44.0,9,5,2,1,0,19.39215447236417,21.378931054371822,23.010712002560087,23.606450090933457,21.546455550606062
2023-02-23,P001,850.7301373006082,15.0,0,15.255236660040154,65.0,7,3,2,0,0,16.839909305232943,33.08046511989337,18.000020577469726,22.958018412485046,21.105683929368407
2023-02-24,P001,815.0639900416738,15.0,0,12.082623653670812,24.0,7,4,2,0,0,15.255236660040154,22.5980390901801,28.17111297683544,20.411557203934585,20.909627935266293
2023-02-25,P001,142.1667176748428,0.0,1,30.29531544495796,130.0,24,5,2,1,0,12.082623653670812,20.308312668508425,19.070315238087225,18.909354998718975,19.76045012646882
2023-02-27,P001,369.82047480871233,15.0,1,26.30203385019444,76.0,30,0,2,0,0,30.29531544495796,17.65518646368874,13.938831578720656,20.336069681068903,20.562235855531018
2023-02-28,P001,474.07796801731513,0.0,1,22.2735589564067,66.0,16,1,2,0,0,26.30203385019444,30.83206176752756,19.686056625057947,21.57133359342686,21.44532173206486
2023-03-02,P001,619.4103274344887,5.0,1,20.42973724595444,74.0,21,3,3,0,0,22.2735589564067,19.39215447236417,14.528178073219577,20.34869033469531,21.6301433271612
2023-03-03,P001,541.6304001971198,0.0,0,17.35813193701775,67.0,9,4,3,0,0,20.42973724595444,16.839909305232943,21.378931054371822,20.496916445208207,22.051683268070832
2023-03-04,P001,939.6323763127048,20.0,0,15.500737257814002,57.0,9,5,3,1,0,17.35813193701775,15.255236660040154,33.08046511989337,20.57094824974889,21.764483331116967
2023-03-07,P001,731.0256349757262,15.0,0,12.049197399085552,33.0,8,1,3,0,0,15.500737257814002,12.082623653670812,22.5980390901801,20.606019763716585,20.508788483825587
2023-03-09,P001,200.69255489421147,10.0,1,27.03273316749385,57.0,25,3,3,0,0,12.049197399085552,30.29531544495796,20.308312668508425,20.60124458449012,19.755299791604546
2023-03-12,P001,535.5904313617724,0.0,1,23.715282799624404,50.0,27,6,3,1,0,27.03273316749385,26.30203385019444,17.65518646368874,20.135161401995248,20.235615541532074
2023-03-13,P001,293.4213733327563,5.0,1,21.99831886888872,48.0,10,0,3,0,0,23.715282799624404,22.2735589564067,30.83206176752756,19.7656255376281,20.66847956552748
2023-03-15,P001,544.7329035740944,25.0,0,19.29652184142146,43.0,23,2,3,0,0,21.99831886888872,20.42973724595444,19.39215447236417,19.72630552512553,20.037497929910423
2023-03-17,P001,667.5228474247831,0.0,0,13.07595250528633,42.0,15,4,3,0,0,19.29652184142146,17.35813193701775,16.839909305232943,19.564417610192248,20.030667027700225
2023-03-19,P001,917.5910966914378,10.0,0,13.38837378193366,33.0,8,6,3,1,0,13.07595250528633,15.500737257814002,15.255236660040154,18.952677691373474,19.76181297056118
2023-03-23,P001,541.6304001971198,10.0,0,23.364786993919815,62.0,16,3,3,0,0,13.38837378193366,12.049197399085552,12.082623653670812,18.650911480533427,19.62846562212501
2023-03-25,P001,603.4648831546212,20.0,1,21.31123110396633,76.0,22,5,3,1,0,23.364786993919815,27.03273316749385,30.29531544495796,20.26742427979546,20.434334432142787
2023-03-26,P001,849.1271856948955,10.0,0,14.811550266182095,62.0,12,6,3,1,0,21.31123110396633,23.715282799624404,26.30203385019444,19.450066842148676,19.792614122071964
2023-03-27,P001,844.620899343531,10.0,0,12.905140419855796,32.0,10,0,3,0,0,14.811550266182095,21.99831886888872,22.2735589564067,18.178105051656917,18.971865294642505
2023-03-28,P001,136.12497317682988,25.0,1,27.80562717048132,71.0,13,1,3,0,0,12.905140419855796,19.29652184142146,20.42973724595444,16.879079558937924,18.30269254203173
2023-03-29,P001,541.6304001971198,0.0,0,12.541106593933112,52.0,15,2,3,0,0,27.80562717048132,13.07595250528633,17.35813193701775,18.094666034517907,18.82954182235508
2023-04-01,P001,941.2569239394708,0.0,0,14.68661555321674,57.0,7,5,4,1,0,12.541106593933112,13.38837378193366,15.500737257814002,18.018259475753162,18.485468583563318
2023-04-04,P001,925.7887086883702,20.0,1,16.84413804750588,54.0,16,1,4,0,0,14.68661555321674,23.364786993919815,12.049197399085552,18.203722585936458,18.427317033234942
2023-04-06,P001,639.3693583057498,10.0,0,15.773722206748822,56.0,8,3,4,0,0,16.84413804750588,21.31123110396633,27.03273316749385,17.272201307877324,18.769812793836394
2023-04-08,P001,784.0049904658887,0.0,0,12.716855692446307,31.0,10,5,4,1,0,15.773722206748822,14.811550266182095,23.715282799624404,16.481128608274823,17.965597725211747
2023-04-09,P001,104.62566482700429,5.0,0,21.702689814162564,47.0,24,6,4,1,0,12.716855692446307,12.905140419855796,21.99831886888872,16.18188652631257,17.17999578898474
2023-04-19,P001,655.4976246950123,25.0,0,17.955946083713098,41.0,9,2,4,0,0,21.702689814162564,27.80562717048132,19.29652184142146,17.438679296927823,17.158879427932874
2023-04-22,P001,551.7508646186575,25.0,1,33.07568219236032,136.0,29,5,4,1,0,17.955946083713098,12.541106593933112,13.07595250528633,16.031581998818073,17.06312401666799
2023-04-27,P001,879.6095832409034,5.0,0,11.55612933148742,50.0,10,3,4,0,0,33.07568219236032,14.68661555321674,13.38837378193366,18.96509279859339,18.491676137173275
2023-05-01,P001,616.5362225106841,5.0,1,21.85869224451059,48.0,24,0,5,0,0,11.55612933148742,16.84413804750588,23.364786993919815,18.517880481203488,18.360801533569973
2023-05-08,P001,291.73178785893776,15.0,0,22.063800056377083,86.0,10,0,5,0,0,21.85869224451059,15.773722206748822,21.31123110396633,19.234245366489876,18.2532233371836
2023-05-10,P001,285.3893657696259,15.0,0,20.944450661868068,65.0,20,2,5,0,0,22.063800056377083,12.716855692446307,14.811550266182095,20.13282791643677,18.306978262355795
2023-05-11,P001,524.1896146945614,30.0,1,29.932823532687618,65.0,36,3,5,0,0,20.944450661868068,21.702689814162564,12.905140419855796,21.308198626354166,18.745042576333365
2023-05-12,P001,605.4350569409748,0.0,0,16.872581953225247,59.0,8,4,5,0,0,29.932823532687618,17.955946083713098,27.80562717048132,22.483932014714885,19.961305655821352
2023-05-13,P001,987.340751762426,20.0,0,17.02517567113382,53.0,7,5,5,1,0,16.872581953225247,33.07568219236032,12.541106593933112,22.329165710359472,19.180373854588776
2023-05-14,P001,293.91661654815704,0.0,1,27.442049079381945,106.0,18,6,5,1,0,17.02517567113382,11.55612933148742,14.68661555321674,20.036236207327118,19.500664502960255
2023-05-15,P001,786.20006974519,25.0,0,13.029171477560183,32.0,7,0,5,0,0,27.442049079381945,21.85869224451059,16.84413804750588,22.305653314169195,20.411766897686338
2023-05-18,P001,716.6813083928795,30.0,0,21.93019402894712,58.0,17,3,5,0,0,13.029171477560183,22.063800056377083,15.773722206748822,21.044293204604852,20.139269285547364
2023-05-20,P001,981.3369622640648,15.0,0,10.744569846689718,34.0,12,5,5,1,0,21.93019402894712,20.944450661868068,12.716855692446307,21.025206629257713,20.57901727284724
2023-05-24,P001,826.5354843936254,10.0,0,12.699950044822664,41.0,9,2,5,0,0,10.744569846689718,29.932823532687618,21.702689814162564,19.56808079851795,20.438139712436055
2023-05-26,P001,243.455396294262,30.0,1,24.244569551841348,72.0,16,4,5,0,0,12.699950044822664,16.872581953225247,17.955946083713098,17.10624172882296,19.79508687176892
2023-05-27,P001,910.6841462056592,25.0,0,19.34922700808287,46.0,11,5,5,1,0,24.244569551841348,17.02517567113382,33.07568219236032,18.159382814339544,20.24427426234951
2023-06-04,P001,536.3728657444933,5.0,0,15.575231264499234,65.0,17,6,6,1,0,19.34922700808287,27.442049079381945,11.55612933148742,18.491390148189407,19.263813177758266
2023-06-06,P001,735.9782695740405,25.0,0,10.080339904241928,23.0,9,1,6,0,0,15.575231264499234,13.029171477560183,21.85869224451059,16.796130460349023,19.550891887259105
2023-06-14,P001,407.4126696498476,25.0,0,22.97589728296132,49.0,13,2,6,0,0,10.080339904241928,21.93019402894712,22.063800056377083,16.37486880701784,18.709581005811344
